GENE_NAME	ANNOT
DBR1	"nuclear mRNA splicing, via spliceosome;RNA splicing, via transesterification reactions"
DBT	metabolic process;branched chain family amino acid catabolic process;cellular nitrogen compound metabolic process;small molecule metabolic process;fatty-acyl-CoA biosynthetic process
DBX2	-
DCAF10	protein ubiquitination
DCAF11	protein ubiquitination
DCAF12	protein ubiquitination
DCAF12L1	-
DCAF12L2	-
DCAF13	rRNA processing;protein ubiquitination
DCAF13P3	-
DCAF15	-
DCAF16	protein ubiquitination
DCAF17	protein ubiquitination
DCAF4	protein ubiquitination
DCAF4L1	-
DCAF4L2	-
DCAF5	protein ubiquitination
DCAF6	protein ubiquitination;positive regulation of transcription from RNA polymerase II promoter
DCAF7	multicellular organismal development;protein ubiquitination
DCAF8	protein ubiquitination
DCAF8L1	-
DCAKD	coenzyme A biosynthetic process
DCBLD1	cell adhesion
DCBLD2	intracellular receptor mediated signaling pathway;wound healing;cell adhesion;negative regulation of cell growth
DCC	response to amphetamine;regulation of apoptotic process;apoptotic process;negative regulation of collateral sprouting;induction of apoptosis;positive regulation of ERK1 and ERK2 cascade;multicellular organismal development;negative regulation of dendrite development;axonogenesis;axon guidance;positive regulation of neuron projection development;negative regulation of neuron projection development
DCDC1	intracellular signal transduction
DCDC2	cellular defense response;nervous system development;intracellular signal transduction;neuron migration
DCDC2B	intracellular signal transduction
DCDC2C	intracellular signal transduction
DCDC5	intracellular signal transduction
DCHS1	homophilic cell adhesion;calcium-dependent cell-cell adhesion;cell adhesion
DCHS2	cell adhesion;homophilic cell adhesion
DCK	purine base metabolic process;deoxycytidine metabolic process;pyrimidine base metabolic process;nucleobase-containing small molecule metabolic process;pyrimidine nucleotide metabolic process;nucleotide biosynthetic process;drug metabolic process;pyrimidine nucleoside salvage;purine-containing compound salvage;small molecule metabolic process
DCLK1	response to virus;endosome transport;cell differentiation;intracellular signal transduction;protein phosphorylation;multicellular organismal development;nervous system development;central nervous system development
DCLK2	intracellular signal transduction
DCLK3	-
DCLRE1A	DNA repair;cell cycle;mitosis;cell division
DCLRE1B	cell cycle checkpoint;telomere maintenance;DNA repair;telomeric loop formation;protection from non-homologous end joining at telomere;telomeric 3' overhang formation
DCLRE1C	chromosome organization;telomere maintenance;double-strand break repair;DNA recombination;response to ionizing radiation;B cell differentiation
DCN	peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan;response to lipopolysaccharide;kidney development;wound healing;placenta development;skeletal muscle tissue development;aging;response to mechanical stimulus;organ morphogenesis
DCP1A	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;gene expression;RNA metabolic process;mRNA metabolic process;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
DCP1B	"gene expression;RNA metabolic process;mRNA metabolic process;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
DCP2	"histone mRNA catabolic process;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;gene expression;RNA metabolic process;mRNA metabolic process;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay"
DCPS	"deadenylation-dependent decapping of nuclear-transcribed mRNA;gene expression;RNA metabolic process;mRNA metabolic process;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
DCST1	-
DCST2	-
DCSTAMP	osteoclast differentiation
DCT	positive regulation of neuroblast proliferation;melanin biosynthetic process from tyrosine;epidermis development;ventricular zone neuroblast division;developmental pigmentation;cell development
DCTD	nucleobase-containing small molecule metabolic process;pyrimidine base metabolic process;pyrimidine nucleotide metabolic process;nucleotide biosynthetic process;small molecule metabolic process;pyrimidine nucleoside biosynthetic process
DCTN1	G2/M transition of mitotic cell cycle;mitotic cell cycle;transport;activation of signaling protein activity involved in unfolded protein response;mitosis;nervous system development;cell death;endoplasmic reticulum unfolded protein response
DCTN2	cell proliferation;G2/M transition of mitotic cell cycle;mitotic cell cycle;microtubule-based process;mitotic spindle organization;mitosis
DCTN3	microtubule-based process;mitosis;G2/M transition of mitotic cell cycle;mitotic cell cycle;cytokinesis
DCTN4	-
DCTN5	-
DCTN6	-
DCTPP1	nucleoside triphosphate catabolic process;protein homotetramerization
DCUN1D1	-
DCUN1D2	-
DCUN1D3	positive regulation of apoptotic process;negative regulation of S phase of mitotic cell cycle;response to UV-C;response to gamma radiation;negative regulation of cell growth
DCUN1D4	-
DCUN1D5	-
DCX	neuron migration;intracellular signal transduction;multicellular organismal development;axon extension;nervous system development;dendrite morphogenesis;axon guidance;response to electrical stimulus;central nervous system development;brain development;central nervous system projection neuron axonogenesis;cell differentiation
DCXR	glucose metabolic process;NADP metabolic process;D-xylose metabolic process;protein homotetramerization;oxidation-reduction process;carbohydrate metabolic process;xylulose metabolic process
DDA1	-
DDAH1	arginine catabolic process;nitric oxide mediated signal transduction;positive regulation of nitric oxide biosynthetic process;positive regulation of angiogenesis;citrulline metabolic process;regulation of systemic arterial blood pressure;arginine metabolic process
DDAH2	arginine catabolic process;nitric oxide biosynthetic process;anti-apoptosis;nitric oxide mediated signal transduction;positive regulation of nitric oxide biosynthetic process;citrulline metabolic process
DDB1	"Wnt receptor signaling pathway;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;proteasomal ubiquitin-dependent protein catabolic process;interspecies interaction between organisms;cell cycle checkpoint;nucleotide-excision repair, DNA damage removal;DNA repair;nucleotide-excision repair"
DDB2	"pyrimidine dimer repair;response to UV;protein autoubiquitination;protein polyubiquitination;nucleotide-excision repair, DNA damage removal;DNA repair;nucleotide-excision repair"
DDC	isoquinoline alkaloid metabolic process;response to pyrethroid;cellular nitrogen compound metabolic process;phytoalexin metabolic process;cellular response to drug;cellular response to alkaloid;cellular amino acid metabolic process;dopamine biosynthetic process;cellular response to growth factor stimulus;circadian rhythm;catecholamine biosynthetic process;response to toxin;serotonin biosynthetic process;multicellular organismal aging;small molecule metabolic process;synaptic vesicle amine transport;indolalkylamine biosynthetic process
DDHD1	lipid catabolic process
DDHD2	lipid catabolic process
DDI2	proteolysis
DDIAS	apoptotic process;cell cycle;cell cycle arrest
DDIT3	"mRNA transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;negative regulation of sequence-specific DNA binding transcription factor activity;response to DNA damage stimulus;regulation of DNA-dependent transcription in response to stress;activation of signaling protein activity involved in unfolded protein response;regulation of transcription involved in anterior/posterior axis specification;cell cycle;cell redox homeostasis;cell cycle arrest;positive regulation of transcription from RNA polymerase II promoter;endoplasmic reticulum unfolded protein response;negative regulation of canonical Wnt receptor signaling pathway;response to endoplasmic reticulum stress;negative regulation of determination of dorsal identity"
DDIT4	response to hypoxia;apoptotic process;negative regulation of TOR signaling cascade;protein complex disassembly;negative regulation of glycolysis;reactive oxygen species metabolic process
DDIT4L	negative regulation of signal transduction
DDN	-
DDO	grooming behavior;hormone metabolic process;aspartate metabolic process;aspartate catabolic process;insemination
DDOST	translation;post-translational protein modification;protein glycosylation;cellular protein metabolic process;protein N-linked glycosylation;innate immune response;SRP-dependent cotranslational protein targeting to membrane;gene expression;protein N-linked glycosylation via asparagine;response to cytokine stimulus;T cell activation
DDR1	"embryo implantation;skin development;negative regulation of cell proliferation;wound healing, spreading of cells;regulation of extracellular matrix disassembly;protein autophosphorylation;smooth muscle cell migration;branching involved in mammary gland duct morphogenesis;organ regeneration;mammary gland alveolus development;regulation of cell growth;collagen-activated tyrosine kinase receptor signaling pathway;smooth muscle cell-matrix adhesion;regulation of cell-matrix adhesion;peptidyl-tyrosine autophosphorylation;cell adhesion;ear development"
DDR2	peptidyl-tyrosine phosphorylation;positive regulation of sequence-specific DNA binding transcription factor activity;ossification;regulation of bone mineralization;positive regulation of extracellular matrix disassembly;endochondral bone growth;chondrocyte proliferation;cell adhesion;collagen-activated tyrosine kinase receptor signaling pathway;signal transduction;positive regulation of osteoblast differentiation;transmembrane receptor protein tyrosine kinase signaling pathway;positive regulation of protein kinase activity;regulation of extracellular matrix disassembly;protein autophosphorylation;positive regulation of fibroblast migration;positive regulation of fibroblast proliferation
DDRGK1	-
DDT	melanin biosynthetic process
DDTL	-
DDX1	"regulation of translational initiation;multicellular organismal development;DNA duplex unwinding;nucleic acid phosphodiester bond hydrolysis;spliceosome assembly;double-strand break repair;regulation of transcription, DNA-dependent;mRNA processing"
DDX10	-
DDX10P2	-
DDX11	G2/M transition of mitotic cell cycle;interspecies interaction between organisms;nucleobase-containing compound metabolic process;activation of signaling protein activity involved in unfolded protein response;cell cycle;sister chromatid cohesion;positive regulation of cell proliferation;mitotic sister chromatid segregation;endoplasmic reticulum unfolded protein response;S phase of mitotic cell cycle;DNA duplex unwinding
DDX11-AS1	-
DDX11L2	-
DDX12P	nucleobase-containing compound metabolic process;cell cycle
DDX17	RNA processing;positive regulation of intracellular estrogen receptor signaling pathway;positive regulation of transcription from RNA polymerase II promoter;regulation of skeletal muscle cell differentiation
DDX18	-
DDX18P1	-
DDX18P2	-
DDX18P3	-
DDX18P5	-
DDX18P6	-
DDX19A	protein transport;mRNA transport
DDX19B	mRNA export from nucleus;protein transport
DDX20	negative regulation of transcription from RNA polymerase II promoter;RNA metabolic process;assembly of spliceosomal tri-snRNP;ncRNA metabolic process;spliceosomal snRNP assembly;positive regulation of apoptotic process;RNA processing;mRNA processing;induction of apoptosis;RNA splicing;gene expression
DDX21	-
DDX23	"RNA splicing, via transesterification reactions;nuclear mRNA splicing, via spliceosome;RNA splicing;gene expression;cis assembly of pre-catalytic spliceosome"
DDX24	RNA metabolic process
DDX25	transport;multicellular organismal development;spermatogenesis;spermatid development;cell differentiation;mRNA export from nucleus;regulation of translation
DDX26B	-
DDX27	-
DDX28	-
DDX31	-
DDX39A	"nuclear mRNA splicing, via spliceosome;mRNA export from nucleus;RNA splicing"
DDX39B	"spliceosome assembly;nuclear mRNA splicing, via spliceosome;mRNA export from nucleus;transport;RNA splicing;RNA secondary structure unwinding;intronless viral mRNA export from host nucleus"
DDX39BP2	-
DDX3X	interspecies interaction between organisms
DDX3Y	-
DDX3YP1	-
DDX3YP3	-
DDX4	sperm motility;multicellular organismal development
DDX41	"RNA splicing;nuclear mRNA splicing, via spliceosome;RNA processing;apoptotic process;multicellular organismal development"
DDX42	regulation of anti-apoptosis;protein localization
DDX43	-
DDX46	RNA splicing;mRNA processing
DDX47	mRNA processing;apoptotic process;RNA splicing;rRNA processing
DDX49	-
DDX5	"RNA splicing;regulation of skeletal muscle cell differentiation;cell growth;positive regulation of intracellular estrogen receptor signaling pathway;positive regulation of DNA damage response, signal transduction by p53 class mediator;regulation of osteoblast differentiation;negative regulation of transcription from RNA polymerase II promoter;positive regulation of transcription from RNA polymerase II promoter;regulation of alternative nuclear mRNA splicing, via spliceosome;regulation of androgen receptor signaling pathway;nuclear mRNA splicing, via spliceosome;signal transduction by p53 class mediator resulting in induction of apoptosis"
DDX50	-
DDX50P1	-
DDX51	rRNA processing
DDX52	-
DDX53	-
DDX54	"regulation of transcription, DNA-dependent;RNA processing;RNA metabolic process;intracellular estrogen receptor signaling pathway"
DDX55	-
DDX56	rRNA processing
DDX58	innate immune response;positive regulation of transcription from RNA polymerase II promoter;positive regulation of defense response to virus by host;positive regulation of sequence-specific DNA binding transcription factor activity;detection of virus;negative regulation of type I interferon production;positive regulation of interferon-alpha production;positive regulation of interferon-beta production;positive regulation of transcription factor import into nucleus
DDX59	-
DDX6	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;gene expression;RNA metabolic process;mRNA metabolic process;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay"
DDX60	response to virus
DDX60L	-
DDX6P1	-
DEAF1	multicellular organismal development;germ cell development;nervous system development;anatomical structure morphogenesis;regulation of mammary gland epithelial cell proliferation;neural tube closure;embryonic skeletal system development;regulation of transcription from RNA polymerase II promoter;transcription from RNA polymerase II promoter
DEC1	negative regulation of cell proliferation
DECR1	fatty acid beta-oxidation;cellular lipid metabolic process;small molecule metabolic process;protein homotetramerization
DECR2	unsaturated fatty acid biosynthetic process
DEDD	"induction of apoptosis;spermatogenesis;induction of apoptosis via death domain receptors;regulation of apoptotic process;negative regulation of transcription, DNA-dependent"
DEDD2	"regulation of apoptotic process;RNA processing;negative regulation of transcription, DNA-dependent;induction of apoptosis via death domain receptors;activation of pro-apoptotic gene products;rRNA catabolic process;cellular homeostasis;apoptotic nuclear change;intracellular signal transduction"
DEF6	-
DEF8	intracellular signal transduction
DEFA1	-
DEFA10P	-
DEFA3	killing of cells of other organism;defense response to bacterium;innate immune response;defense response to fungus;response to virus
DEFA4	killing of cells of other organism;defense response to bacterium;innate immune response;defense response to fungus
DEFA5	killing of cells of other organism;defense response to bacterium;innate immune response;defense response to fungus
DEFA8P	-
DEFB1	acute inflammatory response;chemotaxis;immune response;G-protein coupled receptor signaling pathway;response to bacterium;response to testosterone stimulus;defense response to bacterium;innate immune response
DEFB103A	positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria;defense response to bacterium;innate immune response
DEFB104B	defense response to bacterium
DEFB106B	defense response to bacterium
DEFB112	defense response to bacterium
DEFB113	defense response to bacterium
DEFB116	defense response to bacterium
DEFB119	defense response to bacterium
DEFB121	defense response to bacterium
DEFB126	defense response to bacterium
DEFB127	innate immune response;defense response to bacterium
DEFB128	defense response to bacterium
DEFB134	defense response to bacterium
DEFB136	defense response to bacterium
DEFB4B	-
DEFT1P2	-
DEGS1	unsaturated fatty acid biosynthetic process;sphingolipid metabolic process;sphingolipid biosynthetic process;small molecule metabolic process
DEGS2	sphingolipid biosynthetic process;small molecule metabolic process;ceramide biosynthetic process;fatty acid biosynthetic process;sphingolipid metabolic process;sphinganine metabolic process
DEK	regulation of transcription from RNA polymerase II promoter;transcription from RNA polymerase II promoter;signal transduction;chromatin modification;viral genome replication
DENND1A	synaptic vesicle endocytosis
DENND1B	-
DENND1C	-
DENND2A	-
DENND2C	-
DENND2D	-
DENND3	-
DENND4A	"regulation of transcription, DNA-dependent"
DENND4B	-
DENND4C	-
DENND5A	-
DENND5B	-
DENND6A	-
DENND6B	-
DENR	-
DEPDC1	"intracellular signal transduction;negative regulation of transcription, DNA-dependent"
DEPDC1B	small GTPase mediated signal transduction;regulation of small GTPase mediated signal transduction
DEPDC4	intracellular signal transduction
DEPDC5	intracellular signal transduction
DEPDC7	small GTPase mediated signal transduction;regulation of small GTPase mediated signal transduction
DEPTOR	negative regulation of TOR signaling cascade;intracellular signal transduction;regulation of apoptotic process;negative regulation of cell size;negative regulation of protein kinase activity
DERA	deoxyribonucleotide catabolic process;deoxyribonucleoside catabolic process
DERL1	"establishment of protein localization;response to unfolded protein;protein transport;intracellular transport of viral proteins in host cell;ER-associated protein catabolic process;endoplasmic reticulum unfolded protein response;retrograde protein transport, ER to cytosol;interspecies interaction between organisms"
DERL2	"ER-associated protein catabolic process;endoplasmic reticulum unfolded protein response;retrograde protein transport, ER to cytosol;response to unfolded protein;positive regulation of cell proliferation;positive regulation of cell growth"
DERL3	ER-associated protein catabolic process;endoplasmic reticulum unfolded protein response
DES	muscle filament sliding;muscle contraction;cytoskeleton organization;regulation of heart contraction
DESI1	-
DESI2	-
DET1	-
DEXI	-
DFFA	DNA fragmentation involved in apoptotic nuclear change;apoptotic process;induction of apoptosis;cellular component disassembly involved in apoptosis;intracellular signal transduction;negative regulation of apoptotic process
DFFB	apoptotic process;induction of apoptosis;cellular component disassembly involved in apoptosis;metabolic process;apoptotic chromosome condensation;intracellular signal transduction;DNA fragmentation involved in apoptotic nuclear change
DFNA5	sensory perception of sound;inner ear receptor cell differentiation
DFNB31	retina homeostasis;sensory perception of sound;sensory perception of light stimulus;inner ear receptor stereocilium organization
DFNB59	sensory perception of sound
DGAT1	triglyceride metabolic process;diacylglycerol metabolic process;triglyceride biosynthetic process;glycerolipid metabolic process;lipid storage;insulin secretion;very-low-density lipoprotein particle assembly;long-chain fatty-acyl-CoA metabolic process;cellular lipid metabolic process;small molecule metabolic process
DGAT2	triglyceride biosynthetic process;diacylglycerol metabolic process;lipid storage;fatty acid homeostasis;low-density lipoprotein particle clearance;fat pad development;long-chain fatty-acyl-CoA metabolic process;cellular response to oleic acid;cellular triglyceride homeostasis;regulation of plasma lipoprotein particle levels;cholesterol homeostasis;glycerol metabolic process;cellular lipid metabolic process;lipid biosynthetic process;small molecule metabolic process
DGAT2L6	lipid biosynthetic process
DGCR10	-
DGCR11	-
DGCR12	-
DGCR2	cell adhesion;organ morphogenesis
DGCR5	-
DGCR6	organ morphogenesis;cell adhesion
DGCR6L	-
DGCR8	primary miRNA processing
DGCR9	-
DGKA	activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;blood coagulation;platelet activation;intracellular signal transduction
DGKB	platelet activation;intracellular signal transduction;activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;blood coagulation
DGKD	endocytosis;cell growth;signal transduction;second-messenger-mediated signaling;epidermal growth factor receptor signaling pathway;platelet activation;activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;diacylglycerol metabolic process;multicellular organismal development;protein homooligomerization;blood coagulation;response to organic substance;protein transport
DGKE	activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;blood coagulation;phospholipid biosynthetic process;platelet activation;intracellular signal transduction
DGKG	signal transduction;activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;blood coagulation;platelet activation;intracellular signal transduction;neuron development
DGKH	activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;blood coagulation;platelet activation;intracellular signal transduction;protein oligomerization
DGKI	blood coagulation;platelet activation;regulation of Rap GTPase activity;intracellular signal transduction;negative regulation of catalytic activity;positive regulation of Ras protein signal transduction;activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway
DGKK	platelet activation;intracellular signal transduction;diacylglycerol metabolic process;response to oxidative stress;activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;blood coagulation
DGKQ	G-protein coupled receptor signaling pathway;protein kinase C signaling cascade;activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;blood coagulation;cAMP-mediated signaling;platelet activation;response to ATP;intracellular signal transduction;thrombin receptor signaling pathway
DGKZ	negative regulation of mitotic cell cycle;negative regulation of Ras protein signal transduction;activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway;lipid phosphorylation;blood coagulation;cell migration;platelet activation;mitotic cell cycle G1/S transition DNA damage checkpoint;intracellular signal transduction
DGKZP1	-
DGUOK	nucleotide biosynthetic process;negative regulation of neuron projection development;purine-containing compound salvage;small molecule metabolic process;nucleobase-containing compound metabolic process;dGTP metabolic process;purine base metabolic process;purine deoxyribonucleoside metabolic process;protein phosphorylation;nucleobase-containing small molecule metabolic process;guanosine metabolic process
DGUOK-AS1	-
DHCR24	cholesterol biosynthetic process;tissue development;small molecule metabolic process;apoptotic process;cellular membrane organization;anti-apoptosis;male genitalia development;response to oxidative stress;plasminogen activation;cell cycle arrest;amyloid precursor protein catabolic process;Ras protein signal transduction;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;protein localization;neuroprotection;negative regulation of cell proliferation;skin development
DHCR7	cholesterol biosynthetic process;post-embryonic development;cell differentiation;lung development;multicellular organism growth;regulation of cell proliferation;small molecule metabolic process;blood vessel development;regulation of cholesterol biosynthetic process
DHDDS	-
DHDH	D-xylose catabolic process;carbohydrate metabolic process
DHFR	-
DHFRL1	nucleotide biosynthetic process;thymidine biosynthetic process;tetrahydrofolate metabolic process;glycine biosynthetic process;one-carbon metabolic process
DHFRP1	one-carbon metabolic process;folic acid metabolic process;vitamin metabolic process;regulation of nitric-oxide synthase activity;water-soluble vitamin metabolic process;nucleotide biosynthetic process;G1/S transition of mitotic cell cycle;response to methotrexate;regulation of transcription involved in G1/S phase of mitotic cell cycle;small molecule metabolic process;mitotic cell cycle;nitric oxide metabolic process;glycine biosynthetic process;tetrahydrofolate metabolic process
DHODH	nucleobase-containing small molecule metabolic process;pyrimidine base metabolic process;regulation of mitochondrial fission;'de novo' pyrimidine base biosynthetic process;pyrimidine nucleotide biosynthetic process;UMP biosynthetic process;positive regulation of apoptotic process;small molecule metabolic process;pyrimidine nucleoside biosynthetic process
DHPS	"protein homotetramerization;translation;positive regulation of cell proliferation;peptidyl-lysine modification to hypusine;post-translational protein modification;cellular protein metabolic process;deoxyhypusine biosynthetic process from spermidine, using deoxyhypusine synthase"
DHRS1	-
DHRS11	-
DHRS12	-
DHRS13	-
DHRS2	negative regulation of cell proliferation;response to toxin;cellular response to oxidative stress;myeloid dendritic cell differentiation;negative regulation of apoptotic process;oxidation-reduction process;C21-steroid hormone metabolic process
DHRS3	visual perception;retinol metabolic process
DHRS4-AS1	-
DHRS4L1	-
DHRS4L2	-
DHRS7	-
DHRS7B	-
DHRS9	9-cis-retinoic acid biosynthetic process;androgen metabolic process;epithelial cell differentiation;progesterone metabolic process;retinol metabolic process
DHRSX	-
DHTKD1	glycolysis;tricarboxylic acid cycle
DHX15	mRNA processing;RNA splicing
DHX16	mRNA processing;RNA splicing
DHX29	-
DHX30	-
DHX32	-
DHX33	positive regulation of transcription from RNA polymerase I promoter
DHX34	-
DHX35	"nuclear mRNA splicing, via spliceosome;RNA splicing"
DHX36	-
DHX37	-
DHX38	"RNA splicing;gene expression;mRNA 3'-end processing;nuclear mRNA splicing, via spliceosome;transcription from RNA polymerase II promoter;termination of RNA polymerase II transcription;mRNA export from nucleus"
DHX40	-
DHX57	-
DHX58	innate immune response
DHX8	"RNA splicing;nuclear mRNA splicing, via spliceosome;RNA processing"
DHX9	"nuclear mRNA splicing, via spliceosome;RNA splicing;gene expression;cellular response to heat;CRD-mediated mRNA stabilization"
DHX9P1	-
DIABLO	activation of cysteine-type endopeptidase activity involved in apoptotic process;induction of apoptosis via death domain receptors;induction of apoptosis by intracellular signals;induction of apoptosis by oxidative stress;activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c;intrinsic apoptotic signaling pathway;apoptotic process;induction of apoptosis
DIAPH1	regulation of microtubule-based process;cytoskeleton organization;protein localization to microtubule;sensory perception of sound;regulation of release of sequestered calcium ion into cytosol;regulation of cell shape;cellular response to histamine;cellular component organization;actin cytoskeleton organization;actin filament polymerization;neuron projection development
DIAPH2	actin cytoskeleton organization;actin filament polymerization;cell differentiation;oogenesis;cytokinesis;multicellular organismal development;female gamete generation;cellular component organization
DIAPH3	cellular component organization;actin cytoskeleton organization
DIAPH3-AS1	-
DIAPH3-AS2	-
DICER1	positive regulation of gene expression;targeting of mRNA for destruction involved in RNA interference;multicellular organism growth;digestive tract development;hair follicle cell proliferation;positive regulation of Schwann cell differentiation;gene silencing by RNA;regulation of odontogenesis of dentin-containing tooth;branching morphogenesis of a tube;negative regulation of transcription from RNA polymerase II promoter;stem cell maintenance;pre-miRNA processing;negative regulation of apoptotic process;neuron projection morphogenesis;angiogenesis;nerve development;hair follicle morphogenesis;regulation of viral genome replication;spindle assembly;RNA processing;olfactory bulb interneuron differentiation;positive regulation of myelination;regulation of cell differentiation;defense response to virus;post-embryonic development;cerebral cortex development;peripheral nervous system myelin formation;regulation of neuron differentiation;cardiac muscle cell development;zygote asymmetric cell division;lung development;embryonic hindlimb morphogenesis;positive regulation of transcription from RNA polymerase II promoter;intestinal epithelial cell development;negative regulation of Schwann cell proliferation;production of siRNA involved in RNA interference;production of miRNAs involved in gene silencing by miRNA;spleen development;regulation of enamel mineralization
DICER1-AS1	-
DIDO1	"transcription, DNA-dependent;apoptotic process"
DIEXF	multicellular organismal development
DIMT1	-
DIO1	hormone biosynthetic process;small molecule metabolic process;thyroid hormone generation;cellular nitrogen compound metabolic process
DIO2	selenocysteine incorporation;thyroid hormone generation;cellular nitrogen compound metabolic process;thyroid hormone metabolic process;hormone biosynthetic process;small molecule metabolic process
DIO3	thyroid hormone generation;cellular nitrogen compound metabolic process;hormone biosynthetic process;small molecule metabolic process
DIO3OS	-
DIP2A	multicellular organismal development
DIP2A-IT1	-
DIP2B	-
DIP2C	-
DIRAS1	signal transduction;small GTPase mediated signal transduction
DIRAS2	signal transduction;small GTPase mediated signal transduction
DIRAS3	regulation of cyclin-dependent protein kinase activity;GTP catabolic process;regulation of gene expression by genetic imprinting;signal transduction;small GTPase mediated signal transduction
DIRC1	-
DIRC2	transport
DIRC3	-
DIS3	"gene expression;RNA metabolic process;mRNA metabolic process;rRNA catabolic process;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay;CUT catabolic process;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;rRNA processing"
DIS3L	rRNA catabolic process
DIS3L2	-
DISC1	positive regulation of Wnt receptor signaling pathway;microtubule cytoskeleton organization;neuron migration;positive regulation of neuroblast proliferation;multicellular organismal development;nervous system development
DISP1	diaphragm development;smoothened signaling pathway;protein homotrimerization;patched ligand maturation;determination of left/right symmetry;embryonic pattern specification;dorsal/ventral pattern formation;peptide transport;regulation of protein secretion
DISP2	smoothened signaling pathway
DIXDC1	"cerebral cortex radially oriented cell migration;Wnt receptor signaling pathway, planar cell polarity pathway;forebrain ventricular zone progenitor cell division;regulation of microtubule cytoskeleton organization;forebrain development;positive regulation of canonical Wnt receptor signaling pathway;regulation of actin cytoskeleton organization;camera-type eye development;cell cycle;negative regulation of neuron differentiation;multicellular organismal development;regulation of JNK cascade;cerebellar cortex development;positive regulation of axonogenesis"
DKC1	telomere maintenance via telomerase;cell proliferation;telomere maintenance;pseudouridine synthesis;rRNA processing;RNA processing
DKFZP434A062	-
DKFZP434F142	-
DKFZP434H168	-
DKFZP434L187	-
DKFZP586I1420	-
DKFZP779L1853	-
DKFZp434J0226	-
DKFZp434L192	-
DKFZp451B082	-
DKFZp547J222	-
DKFZp564H213	-
DKFZp566F0947	-
DKFZp667F0711	-
DKFZp686L13185	-
DKK1	mesoderm formation;negative regulation of protein complex assembly;hair follicle development;response to retinoic acid;regulation of receptor internalization;negative regulation of peptidyl-serine phosphorylation;signal transduction;negative regulation of skeletal muscle tissue development;multicellular organismal development;face morphogenesis;negative regulation of transcription from RNA polymerase II promoter;embryonic limb morphogenesis;positive regulation of heart induction by negative regulation of canonical Wnt receptor signaling pathway;cell morphogenesis involved in differentiation;negative regulation of BMP signaling pathway;negative regulation of canonical Wnt receptor signaling pathway;endoderm formation;forebrain development;Wnt receptor signaling pathway involved in somitogenesis
DKK2	multicellular organismal development;negative regulation of canonical Wnt receptor signaling pathway;positive regulation of canonical Wnt receptor signaling pathway
DKK3	"negative regulation of canonical Wnt receptor signaling pathway;negative regulation of cortisol biosynthetic process;multicellular organismal development;anatomical structure morphogenesis;adrenal gland development;negative regulation of aldosterone biosynthetic process;negative regulation of transcription, DNA-dependent"
DKK4	multicellular organismal development;negative regulation of Wnt receptor signaling pathway
DKKL1	positive regulation of fat cell differentiation;signal transduction;anatomical structure morphogenesis
DKKL1P1	-
DLAT	acetyl-CoA biosynthetic process;pyruvate metabolic process;glycolysis;regulation of acetyl-CoA biosynthetic process from pyruvate;sleep;small molecule metabolic process
